"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 09 16:26:58 GMT 2025","Tue Sep 09 16:27:07 GMT 2025","9251","Ui regression suite","Order Placements As Logged In User Test","ui.OrderPlacementAsLoggedInUser","ui.OrderPlacementAsLoggedInUser","orderPlacementAsLoggedInUser","As a logged in user add product to the cart and place an order",""
"unknown","Tue Sep 09 16:26:35 GMT 2025","Tue Sep 09 16:26:35 GMT 2025","2","Ui regression suite","Home page","ui.GeneralElementsTest","ui.GeneralElementsTest","verifyCopyrightYear","Verify if the copyright year matches the current year",""
"passed","Tue Sep 09 16:26:46 GMT 2025","Tue Sep 09 16:26:47 GMT 2025","607","Ui regression suite","Home page","ui.HomePageTest","ui.HomePageTest","verifyHeroSlider","Verify the hero slider",""
"passed","Tue Sep 09 16:26:48 GMT 2025","Tue Sep 09 16:26:48 GMT 2025","88","Ui regression suite","Home page","ui.GeneralElementsTest","ui.GeneralElementsTest","verifyKeyHeaderElementsVisibility","Verify if key header elements are visible",""
"passed","Tue Sep 09 16:26:48 GMT 2025","Tue Sep 09 16:26:48 GMT 2025","105","Ui regression suite","Home page","ui.GeneralElementsTest","ui.GeneralElementsTest","verifyKetFooterElementsVisibility","Verify if key footer elements are visible",""
"passed","Tue Sep 09 16:26:48 GMT 2025","Tue Sep 09 16:26:52 GMT 2025","3569","Ui regression suite","Signup Process Test","ui.SignupProcessTest","ui.SignupProcessTest","shouldRegisterNewUserSuccessfully","Verify that the user can populate signup input fields and proceed to the next signup page",""
"passed","Tue Sep 09 16:26:54 GMT 2025","Tue Sep 09 16:26:58 GMT 2025","3278","Ui regression suite","Order Placements As Guest User Test","ui.OrderPlacementAsGuestTest","ui.OrderPlacementAsGuestTest","orderPlacementAsGuestUser","As a guest user add product to the cart and place an order",""
