"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 10 16:27:14 GMT 2025","Wed Sep 10 16:27:15 GMT 2025","768","Ui regression suite","Home page","ui.GeneralElementsTest","ui.GeneralElementsTest","verifyKetFooterElementsVisibility","Verify if key footer elements are visible",""
"passed","Wed Sep 10 16:27:12 GMT 2025","Wed Sep 10 16:27:13 GMT 2025","700","Ui regression suite","Home page","ui.HomePageTest","ui.HomePageTest","verifyHeroSlider","Verify the hero slider",""
"passed","Wed Sep 10 16:27:15 GMT 2025","Wed Sep 10 16:27:20 GMT 2025","4796","Ui regression suite","Signup Process Test","ui.SignupProcessTest","ui.SignupProcessTest","shouldRegisterNewUserSuccessfully","Verify that the user can populate signup input fields and proceed to the next signup page",""
"unknown","Wed Sep 10 16:26:34 GMT 2025","Wed Sep 10 16:26:34 GMT 2025","1","Ui regression suite","Home page","ui.GeneralElementsTest","ui.GeneralElementsTest","verifyCopyrightYear","Verify if the copyright year matches the current year",""
"passed","Wed Sep 10 16:27:23 GMT 2025","Wed Sep 10 16:27:27 GMT 2025","3969","Ui regression suite","Order Placements As Guest User Test","ui.OrderPlacementAsGuestTest","ui.OrderPlacementAsGuestTest","orderPlacementAsGuestUser","As a guest user add product to the cart and place an order",""
"passed","Wed Sep 10 16:27:15 GMT 2025","Wed Sep 10 16:27:15 GMT 2025","233","Ui regression suite","Home page","ui.GeneralElementsTest","ui.GeneralElementsTest","verifyKeyHeaderElementsVisibility","Verify if key header elements are visible",""
"passed","Wed Sep 10 16:27:28 GMT 2025","Wed Sep 10 16:27:39 GMT 2025","10766","Ui regression suite","Order Placements As Logged In User Test","ui.OrderPlacementAsLoggedInUser","ui.OrderPlacementAsLoggedInUser","orderPlacementAsLoggedInUser","As a logged in user add product to the cart and place an order",""
