"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 02 16:26:24 GMT 2025","Thu Oct 02 16:26:24 GMT 2025","97","Ui regression suite","Home page","ui.GeneralElementsTest","ui.GeneralElementsTest","verifyKeyHeaderElementsVisibility","Verify if key header elements are visible",""
"passed","Thu Oct 02 16:26:23 GMT 2025","Thu Oct 02 16:26:24 GMT 2025","635","Ui regression suite","Home page","ui.HomePageTest","ui.HomePageTest","verifyHeroSlider","Verify the hero slider",""
"passed","Thu Oct 02 16:26:33 GMT 2025","Thu Oct 02 16:26:41 GMT 2025","7827","Ui regression suite","Order Placements As Logged In User Test","ui.OrderPlacementAsLoggedInUser","ui.OrderPlacementAsLoggedInUser","orderPlacementAsLoggedInUser","As a logged in user add product to the cart and place an order",""
"passed","Thu Oct 02 16:26:30 GMT 2025","Thu Oct 02 16:26:32 GMT 2025","2624","Ui regression suite","Order Placements As Guest User Test","ui.OrderPlacementAsGuestTest","ui.OrderPlacementAsGuestTest","orderPlacementAsGuestUser","As a guest user add product to the cart and place an order",""
"unknown","Thu Oct 02 16:26:13 GMT 2025","Thu Oct 02 16:26:13 GMT 2025","1","Ui regression suite","Home page","ui.GeneralElementsTest","ui.GeneralElementsTest","verifyCopyrightYear","Verify if the copyright year matches the current year",""
"passed","Thu Oct 02 16:26:25 GMT 2025","Thu Oct 02 16:26:28 GMT 2025","3160","Ui regression suite","Signup Process Test","ui.SignupProcessTest","ui.SignupProcessTest","shouldRegisterNewUserSuccessfully","Verify that the user can populate signup input fields and proceed to the next signup page",""
"passed","Thu Oct 02 16:26:24 GMT 2025","Thu Oct 02 16:26:24 GMT 2025","94","Ui regression suite","Home page","ui.GeneralElementsTest","ui.GeneralElementsTest","verifyKetFooterElementsVisibility","Verify if key footer elements are visible",""
