"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 07 16:32:10 GMT 2025","Thu Aug 07 16:32:19 GMT 2025","9023","Ui regression suite","Order Placements As Logged In User Test","ui.OrderPlacementAsLoggedInUser","ui.OrderPlacementAsLoggedInUser","orderPlacementAsLoggedInUser","As a logged in user add product to the cart and place an order",""
"passed","Thu Aug 07 16:32:00 GMT 2025","Thu Aug 07 16:32:00 GMT 2025","102","Ui regression suite","Home page","ui.GeneralElementsTest","ui.GeneralElementsTest","verifyKeyHeaderElementsVisibility","Verify if key header elements are visible",""
"passed","Thu Aug 07 16:31:59 GMT 2025","Thu Aug 07 16:32:00 GMT 2025","143","Ui regression suite","Home page","ui.GeneralElementsTest","ui.GeneralElementsTest","verifyKetFooterElementsVisibility","Verify if key footer elements are visible",""
"passed","Thu Aug 07 16:32:06 GMT 2025","Thu Aug 07 16:32:09 GMT 2025","3015","Ui regression suite","Order Placements As Guest User Test","ui.OrderPlacementAsGuestTest","ui.OrderPlacementAsGuestTest","orderPlacementAsGuestUser","As a guest user add product to the cart and place an order",""
"passed","Thu Aug 07 16:32:00 GMT 2025","Thu Aug 07 16:32:04 GMT 2025","3806","Ui regression suite","Signup Process Test","ui.SignupProcessTest","ui.SignupProcessTest","shouldRegisterNewUserSuccessfully","Verify that the user can populate signup input fields and proceed to the next signup page",""
"passed","Thu Aug 07 16:31:58 GMT 2025","Thu Aug 07 16:31:59 GMT 2025","745","Ui regression suite","Home page","ui.HomePageTest","ui.HomePageTest","verifyHeroSlider","Verify the hero slider",""
"unknown","Thu Aug 07 16:31:45 GMT 2025","Thu Aug 07 16:31:45 GMT 2025","1","Ui regression suite","Home page","ui.GeneralElementsTest","ui.GeneralElementsTest","verifyCopyrightYear","Verify if the copyright year matches the current year",""
