"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 28 10:22:26 GMT 2025","Mon Apr 28 10:22:26 GMT 2025","95","Ui regression suite","General Elements","ui.GeneralElementsTest","ui.GeneralElementsTest","verifyKeyHeaderElementsVisibility","Verify if key header elements are visible",""
"passed","Mon Apr 28 10:22:23 GMT 2025","Mon Apr 28 10:22:23 GMT 2025","327","Ui regression suite","Home page","ui.HomePageTest","ui.HomePageTest","verifyHeroSlider","Verify the hero slider",""
"passed","Mon Apr 28 10:22:26 GMT 2025","Mon Apr 28 10:22:26 GMT 2025","37","Ui regression suite","General Elements","ui.GeneralElementsTest","ui.GeneralElementsTest","verifyKetFooterElementsVisibility","Verify if key footer elements are visible",""
"failed","Mon Apr 28 10:22:26 GMT 2025","Mon Apr 28 10:22:26 GMT 2025","196","Ui regression suite","General Elements","ui.GeneralElementsTest","ui.GeneralElementsTest","verifyCopyrightYear","Verify if the copyright year matches the current year",""
