"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 14 16:27:40 GMT 2025","Tue Oct 14 16:27:41 GMT 2025","128","Ui regression suite","Home page","ui.GeneralElementsTest","ui.GeneralElementsTest","verifyKeyHeaderElementsVisibility","Verify if key header elements are visible",""
"passed","Tue Oct 14 16:27:41 GMT 2025","Tue Oct 14 16:27:44 GMT 2025","3467","Ui regression suite","Signup Process Test","ui.SignupProcessTest","ui.SignupProcessTest","shouldRegisterNewUserSuccessfully","Verify that the user can populate signup input fields and proceed to the next signup page",""
"unknown","Tue Oct 14 16:27:29 GMT 2025","Tue Oct 14 16:27:29 GMT 2025","2","Ui regression suite","Home page","ui.GeneralElementsTest","ui.GeneralElementsTest","verifyCopyrightYear","Verify if the copyright year matches the current year",""
"passed","Tue Oct 14 16:27:40 GMT 2025","Tue Oct 14 16:27:40 GMT 2025","138","Ui regression suite","Home page","ui.GeneralElementsTest","ui.GeneralElementsTest","verifyKetFooterElementsVisibility","Verify if key footer elements are visible",""
"passed","Tue Oct 14 16:27:46 GMT 2025","Tue Oct 14 16:27:48 GMT 2025","2398","Ui regression suite","Order Placements As Guest User Test","ui.OrderPlacementAsGuestTest","ui.OrderPlacementAsGuestTest","orderPlacementAsGuestUser","As a guest user add product to the cart and place an order",""
"passed","Tue Oct 14 16:27:39 GMT 2025","Tue Oct 14 16:27:40 GMT 2025","661","Ui regression suite","Home page","ui.HomePageTest","ui.HomePageTest","verifyHeroSlider","Verify the hero slider",""
"passed","Tue Oct 14 16:27:49 GMT 2025","Tue Oct 14 16:27:57 GMT 2025","7858","Ui regression suite","Order Placements As Logged In User Test","ui.OrderPlacementAsLoggedInUser","ui.OrderPlacementAsLoggedInUser","orderPlacementAsLoggedInUser","As a logged in user add product to the cart and place an order",""
