"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 02 16:27:04 GMT 2025","Tue Sep 02 16:27:04 GMT 2025","40","Ui regression suite","Home page","ui.GeneralElementsTest","ui.GeneralElementsTest","verifyKetFooterElementsVisibility","Verify if key footer elements are visible",""
"passed","Tue Sep 02 16:27:18 GMT 2025","Tue Sep 02 16:27:31 GMT 2025","13137","Ui regression suite","Order Placements As Logged In User Test","ui.OrderPlacementAsLoggedInUser","ui.OrderPlacementAsLoggedInUser","orderPlacementAsLoggedInUser","As a logged in user add product to the cart and place an order",""
"unknown","Tue Sep 02 16:26:50 GMT 2025","Tue Sep 02 16:26:50 GMT 2025","1","Ui regression suite","Home page","ui.GeneralElementsTest","ui.GeneralElementsTest","verifyCopyrightYear","Verify if the copyright year matches the current year",""
"passed","Tue Sep 02 16:27:02 GMT 2025","Tue Sep 02 16:27:02 GMT 2025","610","Ui regression suite","Home page","ui.HomePageTest","ui.HomePageTest","verifyHeroSlider","Verify the hero slider",""
"passed","Tue Sep 02 16:27:04 GMT 2025","Tue Sep 02 16:27:04 GMT 2025","153","Ui regression suite","Home page","ui.GeneralElementsTest","ui.GeneralElementsTest","verifyKeyHeaderElementsVisibility","Verify if key header elements are visible",""
"passed","Tue Sep 02 16:27:12 GMT 2025","Tue Sep 02 16:27:17 GMT 2025","4299","Ui regression suite","Order Placements As Guest User Test","ui.OrderPlacementAsGuestTest","ui.OrderPlacementAsGuestTest","orderPlacementAsGuestUser","As a guest user add product to the cart and place an order",""
"passed","Tue Sep 02 16:27:05 GMT 2025","Tue Sep 02 16:27:09 GMT 2025","4475","Ui regression suite","Signup Process Test","ui.SignupProcessTest","ui.SignupProcessTest","shouldRegisterNewUserSuccessfully","Verify that the user can populate signup input fields and proceed to the next signup page",""
