"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 05 16:26:33 GMT 2025","Tue Aug 05 16:26:33 GMT 2025","130","Ui regression suite","Home page","ui.GeneralElementsTest","ui.GeneralElementsTest","verifyKetFooterElementsVisibility","Verify if key footer elements are visible",""
"passed","Tue Aug 05 16:26:44 GMT 2025","Tue Aug 05 16:26:53 GMT 2025","9441","Ui regression suite","Order Placements As Logged In User Test","ui.OrderPlacementAsLoggedInUser","ui.OrderPlacementAsLoggedInUser","orderPlacementAsLoggedInUser","As a logged in user add product to the cart and place an order",""
"passed","Tue Aug 05 16:26:31 GMT 2025","Tue Aug 05 16:26:32 GMT 2025","706","Ui regression suite","Home page","ui.HomePageTest","ui.HomePageTest","verifyHeroSlider","Verify the hero slider",""
"unknown","Tue Aug 05 16:25:50 GMT 2025","Tue Aug 05 16:25:50 GMT 2025","1","Ui regression suite","Home page","ui.GeneralElementsTest","ui.GeneralElementsTest","verifyCopyrightYear","Verify if the copyright year matches the current year",""
"passed","Tue Aug 05 16:26:40 GMT 2025","Tue Aug 05 16:26:43 GMT 2025","3169","Ui regression suite","Order Placements As Guest User Test","ui.OrderPlacementAsGuestTest","ui.OrderPlacementAsGuestTest","orderPlacementAsGuestUser","As a guest user add product to the cart and place an order",""
"passed","Tue Aug 05 16:26:33 GMT 2025","Tue Aug 05 16:26:38 GMT 2025","4122","Ui regression suite","Signup Process Test","ui.SignupProcessTest","ui.SignupProcessTest","shouldRegisterNewUserSuccessfully","Verify that the user can populate signup input fields and proceed to the next signup page",""
"passed","Tue Aug 05 16:26:33 GMT 2025","Tue Aug 05 16:26:33 GMT 2025","112","Ui regression suite","Home page","ui.GeneralElementsTest","ui.GeneralElementsTest","verifyKeyHeaderElementsVisibility","Verify if key header elements are visible",""
