"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 19 16:28:06 GMT 2025","Tue Aug 19 16:28:07 GMT 2025","658","Ui regression suite","Home page","ui.HomePageTest","ui.HomePageTest","verifyHeroSlider","Verify the hero slider",""
"unknown","Tue Aug 19 16:27:55 GMT 2025","Tue Aug 19 16:27:55 GMT 2025","2","Ui regression suite","Home page","ui.GeneralElementsTest","ui.GeneralElementsTest","verifyCopyrightYear","Verify if the copyright year matches the current year",""
"passed","Tue Aug 19 16:28:08 GMT 2025","Tue Aug 19 16:28:12 GMT 2025","3813","Ui regression suite","Signup Process Test","ui.SignupProcessTest","ui.SignupProcessTest","shouldRegisterNewUserSuccessfully","Verify that the user can populate signup input fields and proceed to the next signup page",""
"passed","Tue Aug 19 16:28:08 GMT 2025","Tue Aug 19 16:28:08 GMT 2025","105","Ui regression suite","Home page","ui.GeneralElementsTest","ui.GeneralElementsTest","verifyKeyHeaderElementsVisibility","Verify if key header elements are visible",""
"passed","Tue Aug 19 16:28:14 GMT 2025","Tue Aug 19 16:28:18 GMT 2025","3116","Ui regression suite","Order Placements As Guest User Test","ui.OrderPlacementAsGuestTest","ui.OrderPlacementAsGuestTest","orderPlacementAsGuestUser","As a guest user add product to the cart and place an order",""
"passed","Tue Aug 19 16:28:18 GMT 2025","Tue Aug 19 16:28:28 GMT 2025","9383","Ui regression suite","Order Placements As Logged In User Test","ui.OrderPlacementAsLoggedInUser","ui.OrderPlacementAsLoggedInUser","orderPlacementAsLoggedInUser","As a logged in user add product to the cart and place an order",""
"passed","Tue Aug 19 16:28:08 GMT 2025","Tue Aug 19 16:28:08 GMT 2025","102","Ui regression suite","Home page","ui.GeneralElementsTest","ui.GeneralElementsTest","verifyKetFooterElementsVisibility","Verify if key footer elements are visible",""
