"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 27 16:23:31 GMT 2025","Sat Sep 27 16:23:31 GMT 2025","138","Ui regression suite","Home page","ui.GeneralElementsTest","ui.GeneralElementsTest","verifyKetFooterElementsVisibility","Verify if key footer elements are visible",""
"passed","Sat Sep 27 16:23:30 GMT 2025","Sat Sep 27 16:23:30 GMT 2025","597","Ui regression suite","Home page","ui.HomePageTest","ui.HomePageTest","verifyHeroSlider","Verify the hero slider",""
"passed","Sat Sep 27 16:23:32 GMT 2025","Sat Sep 27 16:23:36 GMT 2025","3831","Ui regression suite","Signup Process Test","ui.SignupProcessTest","ui.SignupProcessTest","shouldRegisterNewUserSuccessfully","Verify that the user can populate signup input fields and proceed to the next signup page",""
"unknown","Sat Sep 27 16:23:15 GMT 2025","Sat Sep 27 16:23:15 GMT 2025","1","Ui regression suite","Home page","ui.GeneralElementsTest","ui.GeneralElementsTest","verifyCopyrightYear","Verify if the copyright year matches the current year",""
"passed","Sat Sep 27 16:23:43 GMT 2025","Sat Sep 27 16:23:52 GMT 2025","9050","Ui regression suite","Order Placements As Logged In User Test","ui.OrderPlacementAsLoggedInUser","ui.OrderPlacementAsLoggedInUser","orderPlacementAsLoggedInUser","As a logged in user add product to the cart and place an order",""
"failed","Sat Sep 27 16:23:38 GMT 2025","Sat Sep 27 16:23:43 GMT 2025","5015","Ui regression suite","Order Placements As Guest User Test","ui.OrderPlacementAsGuestTest","ui.OrderPlacementAsGuestTest","orderPlacementAsGuestUser","As a guest user add product to the cart and place an order",""
"passed","Sat Sep 27 16:23:31 GMT 2025","Sat Sep 27 16:23:31 GMT 2025","108","Ui regression suite","Home page","ui.GeneralElementsTest","ui.GeneralElementsTest","verifyKeyHeaderElementsVisibility","Verify if key header elements are visible",""
