"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 09 16:28:38 GMT 2025","Wed Jul 09 16:28:41 GMT 2025","2735","Ui regression suite","Order Placements As Guest User Test","ui.OrderPlacementAsGuestTest","ui.OrderPlacementAsGuestTest","orderPlacementAsGuestUser","As a guest user add product to the cart and place an order",""
"passed","Wed Jul 09 16:28:30 GMT 2025","Wed Jul 09 16:28:31 GMT 2025","729","Ui regression suite","Home page","ui.HomePageTest","ui.HomePageTest","verifyHeroSlider","Verify the hero slider",""
"unknown","Wed Jul 09 16:28:17 GMT 2025","Wed Jul 09 16:28:17 GMT 2025","1","Ui regression suite","Home page","ui.GeneralElementsTest","ui.GeneralElementsTest","verifyCopyrightYear","Verify if the copyright year matches the current year",""
"passed","Wed Jul 09 16:28:41 GMT 2025","Wed Jul 09 16:28:50 GMT 2025","8858","Ui regression suite","Order Placements As Logged In User Test","ui.OrderPlacementAsLoggedInUser","ui.OrderPlacementAsLoggedInUser","orderPlacementAsLoggedInUser","As a logged in user add product to the cart and place an order",""
"passed","Wed Jul 09 16:28:32 GMT 2025","Wed Jul 09 16:28:32 GMT 2025","175","Ui regression suite","Home page","ui.GeneralElementsTest","ui.GeneralElementsTest","verifyKetFooterElementsVisibility","Verify if key footer elements are visible",""
"passed","Wed Jul 09 16:28:32 GMT 2025","Wed Jul 09 16:28:36 GMT 2025","3664","Ui regression suite","Signup Process Test","ui.SignupProcessTest","ui.SignupProcessTest","shouldRegisterNewUserSuccessfully","Verify that the user can populate signup input fields and proceed to the next signup page",""
"passed","Wed Jul 09 16:28:32 GMT 2025","Wed Jul 09 16:28:32 GMT 2025","92","Ui regression suite","Home page","ui.GeneralElementsTest","ui.GeneralElementsTest","verifyKeyHeaderElementsVisibility","Verify if key header elements are visible",""
