"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 11 16:29:12 GMT 2025","Wed Jun 11 16:29:17 GMT 2025","4814","Ui regression suite","Order Placements As Guest User Test","ui.OrderPlacementAsGuestTest","ui.OrderPlacementAsGuestTest","orderPlacementAsGuestUser","As a guest user add product to the cart and place an order",""
"passed","Wed Jun 11 16:29:00 GMT 2025","Wed Jun 11 16:29:01 GMT 2025","694","Ui regression suite","Home page","ui.HomePageTest","ui.HomePageTest","verifyHeroSlider","Verify the hero slider",""
"passed","Wed Jun 11 16:29:02 GMT 2025","Wed Jun 11 16:29:03 GMT 2025","171","Ui regression suite","Home page","ui.GeneralElementsTest","ui.GeneralElementsTest","verifyKeyHeaderElementsVisibility","Verify if key header elements are visible",""
"unknown","Wed Jun 11 16:28:57 GMT 2025","Wed Jun 11 16:28:57 GMT 2025","2","Ui regression suite","Home page","ui.GeneralElementsTest","ui.GeneralElementsTest","verifyCopyrightYear","Verify if the copyright year matches the current year",""
"passed","Wed Jun 11 16:29:18 GMT 2025","Wed Jun 11 16:29:30 GMT 2025","12218","Ui regression suite","Order Placements As Logged In User Test","ui.OrderPlacementAsLoggedInUser","ui.OrderPlacementAsLoggedInUser","orderPlacementAsLoggedInUser","As a logged in user add product to the cart and place an order",""
"passed","Wed Jun 11 16:29:03 GMT 2025","Wed Jun 11 16:29:08 GMT 2025","4912","Ui regression suite","Signup Process Test","ui.SignupProcessTest","ui.SignupProcessTest","shouldRegisterNewUserSuccessfully","Verify that the user can populate signup input fields and proceed to the next signup page",""
"passed","Wed Jun 11 16:29:02 GMT 2025","Wed Jun 11 16:29:02 GMT 2025","210","Ui regression suite","Home page","ui.GeneralElementsTest","ui.GeneralElementsTest","verifyKetFooterElementsVisibility","Verify if key footer elements are visible",""
