"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 05 16:28:29 GMT 2025","Thu Jun 05 16:28:29 GMT 2025","151","Ui regression suite","Home page","ui.GeneralElementsTest","ui.GeneralElementsTest","verifyKetFooterElementsVisibility","Verify if key footer elements are visible",""
"passed","Thu Jun 05 16:28:39 GMT 2025","Thu Jun 05 16:28:47 GMT 2025","8562","Ui regression suite","Order Placements As Logged In User Test","ui.OrderPlacementAsLoggedInUser","ui.OrderPlacementAsLoggedInUser","orderPlacementAsLoggedInUser","As a logged in user add product to the cart and place an order",""
"passed","Thu Jun 05 16:28:29 GMT 2025","Thu Jun 05 16:28:29 GMT 2025","94","Ui regression suite","Home page","ui.GeneralElementsTest","ui.GeneralElementsTest","verifyKeyHeaderElementsVisibility","Verify if key header elements are visible",""
"passed","Thu Jun 05 16:28:30 GMT 2025","Thu Jun 05 16:28:34 GMT 2025","3798","Ui regression suite","Signup Process Test","ui.SignupProcessTest","ui.SignupProcessTest","shouldRegisterNewUserSuccessfully","Verify that the user can populate signup input fields and proceed to the next signup page",""
"passed","Thu Jun 05 16:28:36 GMT 2025","Thu Jun 05 16:28:38 GMT 2025","2765","Ui regression suite","Order Placements As Guest User Test","ui.OrderPlacementAsGuestTest","ui.OrderPlacementAsGuestTest","orderPlacementAsGuestUser","As a guest user add product to the cart and place an order",""
"passed","Thu Jun 05 16:28:28 GMT 2025","Thu Jun 05 16:28:29 GMT 2025","639","Ui regression suite","Home page","ui.HomePageTest","ui.HomePageTest","verifyHeroSlider","Verify the hero slider",""
"unknown","Thu Jun 05 16:28:16 GMT 2025","Thu Jun 05 16:28:16 GMT 2025","1","Ui regression suite","Home page","ui.GeneralElementsTest","ui.GeneralElementsTest","verifyCopyrightYear","Verify if the copyright year matches the current year",""
