"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 07 16:29:45 GMT 2025","Mon Jul 07 16:29:48 GMT 2025","2811","Ui regression suite","Order Placements As Guest User Test","ui.OrderPlacementAsGuestTest","ui.OrderPlacementAsGuestTest","orderPlacementAsGuestUser","As a guest user add product to the cart and place an order",""
"failed","Mon Jul 07 16:29:49 GMT 2025","Mon Jul 07 16:29:55 GMT 2025","6784","Ui regression suite","Order Placements As Logged In User Test","ui.OrderPlacementAsLoggedInUser","ui.OrderPlacementAsLoggedInUser","orderPlacementAsLoggedInUser","As a logged in user add product to the cart and place an order",""
"passed","Mon Jul 07 16:29:39 GMT 2025","Mon Jul 07 16:29:39 GMT 2025","105","Ui regression suite","Home page","ui.GeneralElementsTest","ui.GeneralElementsTest","verifyKetFooterElementsVisibility","Verify if key footer elements are visible",""
"passed","Mon Jul 07 16:29:38 GMT 2025","Mon Jul 07 16:29:39 GMT 2025","740","Ui regression suite","Home page","ui.HomePageTest","ui.HomePageTest","verifyHeroSlider","Verify the hero slider",""
"unknown","Mon Jul 07 16:29:14 GMT 2025","Mon Jul 07 16:29:14 GMT 2025","2","Ui regression suite","Home page","ui.GeneralElementsTest","ui.GeneralElementsTest","verifyCopyrightYear","Verify if the copyright year matches the current year",""
"passed","Mon Jul 07 16:29:40 GMT 2025","Mon Jul 07 16:29:44 GMT 2025","4084","Ui regression suite","Signup Process Test","ui.SignupProcessTest","ui.SignupProcessTest","shouldRegisterNewUserSuccessfully","Verify that the user can populate signup input fields and proceed to the next signup page",""
"passed","Mon Jul 07 16:29:39 GMT 2025","Mon Jul 07 16:29:39 GMT 2025","113","Ui regression suite","Home page","ui.GeneralElementsTest","ui.GeneralElementsTest","verifyKeyHeaderElementsVisibility","Verify if key header elements are visible",""
