"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 19 16:26:06 GMT 2025","Fri Sep 19 16:26:06 GMT 2025","134","Ui regression suite","Home page","ui.GeneralElementsTest","ui.GeneralElementsTest","verifyKeyHeaderElementsVisibility","Verify if key header elements are visible",""
"passed","Fri Sep 19 16:26:06 GMT 2025","Fri Sep 19 16:26:06 GMT 2025","95","Ui regression suite","Home page","ui.GeneralElementsTest","ui.GeneralElementsTest","verifyKetFooterElementsVisibility","Verify if key footer elements are visible",""
"passed","Fri Sep 19 16:26:15 GMT 2025","Fri Sep 19 16:26:23 GMT 2025","7544","Ui regression suite","Order Placements As Logged In User Test","ui.OrderPlacementAsLoggedInUser","ui.OrderPlacementAsLoggedInUser","orderPlacementAsLoggedInUser","As a logged in user add product to the cart and place an order",""
"passed","Fri Sep 19 16:26:12 GMT 2025","Fri Sep 19 16:26:14 GMT 2025","2591","Ui regression suite","Order Placements As Guest User Test","ui.OrderPlacementAsGuestTest","ui.OrderPlacementAsGuestTest","orderPlacementAsGuestUser","As a guest user add product to the cart and place an order",""
"unknown","Fri Sep 19 16:25:35 GMT 2025","Fri Sep 19 16:25:35 GMT 2025","2","Ui regression suite","Home page","ui.GeneralElementsTest","ui.GeneralElementsTest","verifyCopyrightYear","Verify if the copyright year matches the current year",""
"passed","Fri Sep 19 16:26:05 GMT 2025","Fri Sep 19 16:26:05 GMT 2025","699","Ui regression suite","Home page","ui.HomePageTest","ui.HomePageTest","verifyHeroSlider","Verify the hero slider",""
"passed","Fri Sep 19 16:26:06 GMT 2025","Fri Sep 19 16:26:10 GMT 2025","3644","Ui regression suite","Signup Process Test","ui.SignupProcessTest","ui.SignupProcessTest","shouldRegisterNewUserSuccessfully","Verify that the user can populate signup input fields and proceed to the next signup page",""
