"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"unknown","Fri Oct 10 16:26:30 GMT 2025","Fri Oct 10 16:26:30 GMT 2025","1","Ui regression suite","Home page","ui.GeneralElementsTest","ui.GeneralElementsTest","verifyCopyrightYear","Verify if the copyright year matches the current year",""
"passed","Fri Oct 10 16:26:42 GMT 2025","Fri Oct 10 16:26:42 GMT 2025","114","Ui regression suite","Home page","ui.GeneralElementsTest","ui.GeneralElementsTest","verifyKeyHeaderElementsVisibility","Verify if key header elements are visible",""
"passed","Fri Oct 10 16:26:40 GMT 2025","Fri Oct 10 16:26:41 GMT 2025","623","Ui regression suite","Home page","ui.HomePageTest","ui.HomePageTest","verifyHeroSlider","Verify the hero slider",""
"passed","Fri Oct 10 16:26:52 GMT 2025","Fri Oct 10 16:27:00 GMT 2025","8818","Ui regression suite","Order Placements As Logged In User Test","ui.OrderPlacementAsLoggedInUser","ui.OrderPlacementAsLoggedInUser","orderPlacementAsLoggedInUser","As a logged in user add product to the cart and place an order",""
"passed","Fri Oct 10 16:26:42 GMT 2025","Fri Oct 10 16:26:42 GMT 2025","72","Ui regression suite","Home page","ui.GeneralElementsTest","ui.GeneralElementsTest","verifyKetFooterElementsVisibility","Verify if key footer elements are visible",""
"passed","Fri Oct 10 16:26:42 GMT 2025","Fri Oct 10 16:26:46 GMT 2025","3632","Ui regression suite","Signup Process Test","ui.SignupProcessTest","ui.SignupProcessTest","shouldRegisterNewUserSuccessfully","Verify that the user can populate signup input fields and proceed to the next signup page",""
"passed","Fri Oct 10 16:26:48 GMT 2025","Fri Oct 10 16:26:51 GMT 2025","2856","Ui regression suite","Order Placements As Guest User Test","ui.OrderPlacementAsGuestTest","ui.OrderPlacementAsGuestTest","orderPlacementAsGuestUser","As a guest user add product to the cart and place an order",""
